audio_path,audio_filename,english_text,text_for_tts
overtaking_aids/no_drs_activations_remaining,6.wav,,
overtaking_aids/remember_to_use_kers,1.wav,,
overtaking_aids/remember_to_use_kers,2.wav,,
overtaking_aids/remember_to_use_kers,3.wav,,
overtaking_aids/remember_to_use_kers,4.wav,,
overtaking_aids/remember_to_use_kers,5.wav,,
overtaking_aids/remember_to_use_kers,6.wav,,
radio_check_Leonardo,1.wav,,
radio_check_Leonardo,2.wav,,
radio_check_Leonardo,3.wav,,
radio_check_Leonardo,4.wav,,
radio_check_Leonardo,5.wav,,
timings/bad_reputation,1.wav,bad rep,
timings/bad_reputation,10.wav,,
timings/bad_reputation,11.wav,,
timings/bad_reputation,18.wav,,
timings/bad_reputation,19.wav,,
timings/bad_reputation,2.wav,bad reputation,
timings/bad_reputation,20.wav,,
timings/bad_reputation,21.wav,,
timings/bad_reputation,22.wav,,
timings/bad_reputation,23.wav,,
timings/bad_reputation,24.wav,,
timings/bad_reputation,25.wav,,
timings/bad_reputation,26.wav,,
timings/bad_reputation,27.wav,,
timings/bad_reputation,28.wav,,
timings/bad_reputation,29.wav,,
timings/bad_reputation,3.wav,poor reputation,
timings/bad_reputation,30.wav,,
timings/bad_reputation,31.wav,,
timings/bad_reputation,32.wav,,
timings/bad_reputation,33.wav,,
timings/bad_reputation,34.wav,,
timings/bad_reputation,35.wav,,
timings/bad_reputation,36.wav,,
timings/bad_reputation,37.wav,,
timings/bad_reputation,38.wav,,
timings/bad_reputation,39.wav,,
timings/bad_reputation,4.wav,really accident prone,
timings/bad_reputation,40.wav,,
timings/bad_reputation,41.wav,,
timings/bad_reputation,42.wav,,
timings/bad_reputation,43.wav,,
timings/bad_reputation,44.wav,,
timings/bad_reputation,7.wav,accident prone,
timings/bad_reputation,8.wav,,
timings/bad_reputation,9.wav,,
timings/bad_reputation,sweary_12.wav,,
timings/bad_reputation,sweary_13.wav,,
timings/bad_reputation,sweary_14.wav,,
timings/bad_reputation,sweary_15.wav,,
timings/bad_reputation,sweary_16.wav,,
timings/bad_reputation,sweary_17.wav,,
timings/bad_reputation,sweary_21.wav,,
timings/below_average_reputation,1.wav,sketchy,
timings/below_average_reputation,10.wav,,
timings/below_average_reputation,11.wav,,
timings/below_average_reputation,12.wav,,
timings/below_average_reputation,13.wav,,
timings/below_average_reputation,14.wav,,
timings/below_average_reputation,15.wav,,
timings/below_average_reputation,16.wav,,
timings/below_average_reputation,17.wav,,
timings/below_average_reputation,18.wav,,
timings/below_average_reputation,19.wav,,
timings/below_average_reputation,2.wav,,
timings/below_average_reputation,20.wav,,
timings/below_average_reputation,21.wav,,
timings/below_average_reputation,22.wav,,
timings/below_average_reputation,23.wav,,
timings/below_average_reputation,3.wav,,
timings/below_average_reputation,4.wav,not the cleanest racer,
timings/below_average_reputation,5.wav,,
timings/below_average_reputation,6.wav,,
timings/below_average_reputation,7.wav,,
timings/below_average_reputation,8.wav,,
timings/below_average_reputation,9.wav,,
